,UDI,Rotational speed [rpm],Torque [Nm],Tool wear [min],Normalized_air_temp,Normalized_process_temp,Power [W],Product Type_H,Product Type_L,Product Type_M,Machine Failure
0,1,1551,42.8,3,298.0953163545595,299.05268748146125,6951.5846884,0.0,0.0,1.0,0
1,2,1408,46.3,5,298.1953034220864,299.12008499693826,6826.716957866666,0.0,1.0,0.0,0
2,3,1498,49.4,7,298.0953163545595,298.98528996598424,7749.380996933332,0.0,1.0,0.0,0
3,4,1433,39.5,9,298.1953034220864,299.05268748146125,5927.499652166667,0.0,1.0,0.0,0
4,5,1408,40.0,11,298.1953034220864,299.12008499693826,5897.811626666667,0.0,1.0,0.0,0
5,6,1425,41.9,14,298.0953163545595,299.05268748146125,6252.549497499999,0.0,0.0,1.0,0
6,7,1558,42.4,16,298.0953163545595,299.05268748146125,6917.697404266665,0.0,1.0,0.0,0
7,8,1527,40.2,18,298.0953163545595,299.05268748146125,6428.2586262,0.0,1.0,0.0,0
8,9,1667,28.6,21,298.29529048961336,299.12008499693826,4992.635771933334,0.0,0.0,1.0,0
9,10,1741,28.0,24,298.4952646246672,299.3222775433693,5104.874310666666,0.0,0.0,1.0,0
10,11,1782,23.9,29,298.3952775571402,299.2548800278923,4459.989659399999,1.0,0.0,0.0,0
11,12,1423,44.3,34,298.5952516921941,299.3896750588464,6601.412595033333,1.0,0.0,0.0,0
12,13,1339,51.1,37,298.5952516921941,299.3896750588464,7165.223280366667,0.0,0.0,1.0,1
13,14,1742,30.0,40,298.5952516921941,299.4570725743233,5472.64978,0.0,0.0,1.0,0
14,15,2035,19.6,42,298.5952516921941,299.4570725743233,4176.848624666667,0.0,1.0,0.0,0
15,16,1542,48.4,44,298.5952516921941,299.4570725743233,7815.521938399999,0.0,1.0,0.0,0
16,17,1311,46.6,47,298.5952516921941,299.4570725743233,6397.5967078,0.0,0.0,1.0,1
17,18,1410,45.6,50,298.695238759721,299.4570725743233,6733.055688,0.0,0.0,1.0,0
18,19,1306,54.5,55,298.7952258272479,299.4570725743233,7453.6317143333345,1.0,0.0,0.0,1
19,20,1632,32.5,58,298.89521289477483,299.5244700898004,5554.331120000001,0.0,0.0,1.0,0
20,21,1375,42.7,63,298.89521289477483,299.5244700898004,6148.353429166667,1.0,0.0,0.0,1
21,22,1450,44.8,65,298.7952258272479,299.5244700898004,6802.589546666666,0.0,1.0,0.0,0
22,23,1581,30.7,68,298.89521289477483,299.5244700898004,5082.7470451,0.0,0.0,1.0,0
23,24,1758,25.7,70,298.99519996230174,299.59186760527734,4731.297371799999,0.0,1.0,0.0,0
24,25,1561,37.3,73,298.99519996230174,299.59186760527734,6097.3340075666665,0.0,0.0,1.0,0
25,26,1861,23.3,75,298.99519996230174,299.6592651207544,4540.780882233334,0.0,1.0,0.0,0
26,27,1512,39.0,77,299.0951870298287,299.6592651207544,6175.109304,0.0,1.0,0.0,0
27,28,1811,24.6,82,299.0951870298287,299.59186760527734,4665.323981800001,1.0,0.0,0.0,0
28,29,1439,44.2,84,299.0951870298287,299.59186760527734,6660.568734733335,0.0,1.0,0.0,0
29,30,1693,30.1,86,298.99519996230174,299.59186760527734,5336.440909566667,0.0,1.0,0.0,0
30,31,1339,48.2,89,299.0951870298287,299.6592651207544,6758.586342733333,0.0,0.0,1.0,1
31,32,1798,25.5,91,298.99519996230174,299.59186760527734,4801.291996999999,0.0,1.0,0.0,0
32,33,1419,48.3,93,298.99519996230174,299.59186760527734,7177.245098099998,0.0,1.0,0.0,0
33,34,1665,32.5,95,298.89521289477483,299.5244700898004,5666.642962499999,0.0,1.0,0.0,0
34,35,1559,34.7,98,298.7952258272479,299.3896750588464,5665.051223566667,0.0,0.0,1.0,0
35,36,1452,48.6,101,298.7952258272479,299.4570725743233,7389.7736616,0.0,0.0,1.0,0
36,37,1581,36.7,104,298.89521289477483,299.4570725743233,6076.1178031,0.0,0.0,1.0,0
37,38,1439,39.2,106,298.7952258272479,299.3896750588464,5907.110733066668,0.0,1.0,0.0,0
38,39,1379,50.7,111,298.89521289477483,299.4570725743233,7321.5069109,1.0,0.0,0.0,1
39,40,1350,52.5,113,298.7952258272479,299.3896750588464,7422.006374999999,0.0,1.0,0.0,1
40,41,1362,45.4,115,298.7952258272479,299.3896750588464,6475.3196444,0.0,1.0,0.0,1
41,42,1368,50.8,117,298.7952258272479,299.3896750588464,7277.430403199998,0.0,1.0,0.0,1
42,43,1368,49.1,120,298.7952258272479,299.3896750588464,7033.894346399999,0.0,0.0,1.0,1
43,44,1372,48.5,125,298.7952258272479,299.4570725743233,6968.256059333334,1.0,0.0,0.0,1
44,45,1472,47.5,128,298.7952258272479,299.3896750588464,7321.999093333333,0.0,0.0,1.0,0
45,46,1489,49.1,130,298.7952258272479,299.3896750588464,7656.044358033333,0.0,1.0,0.0,0
46,47,1843,25.8,133,298.695238759721,299.3222775433693,4979.3573182,0.0,0.0,1.0,0
47,48,1418,46.3,135,298.7952258272479,299.3896750588464,6875.202163533333,0.0,1.0,0.0,0
48,49,1425,53.9,140,298.7952258272479,299.4570725743233,8043.255797499998,1.0,0.0,0.0,0
49,50,1412,44.1,143,298.89521289477483,299.4570725743233,6520.8098676,0.0,0.0,1.0,0
50,52,1383,54.9,147,298.89521289477483,299.3896750588464,7951.0187151,0.0,1.0,0.0,0
51,53,1497,43.8,152,298.7952258272479,299.3222775433693,6866.321935799999,1.0,0.0,0.0,0
52,54,1565,35.1,154,298.695238759721,299.3222775433693,5752.4083695,0.0,1.0,0.0,0
53,55,1691,30.1,156,298.695238759721,299.3222775433693,5330.136785633333,0.0,1.0,0.0,0
54,56,1512,40.7,158,298.7952258272479,299.3896750588464,6444.2807352,0.0,1.0,0.0,0
55,57,1477,42.4,160,298.7952258272479,299.3896750588464,6558.048181066666,0.0,1.0,0.0,0
56,58,1513,40.3,162,298.7952258272479,299.3896750588464,6385.166483366666,0.0,1.0,0.0,0
57,59,1661,29.5,165,298.7952258272479,299.3222775433693,5131.211306833334,0.0,0.0,1.0,0
58,60,1378,54.4,167,298.7952258272479,299.3896750588464,7850.121316266667,0.0,1.0,0.0,1
59,61,1393,52.6,169,298.7952258272479,299.3896750588464,7672.998472066666,0.0,1.0,0.0,0
60,62,1592,38.2,172,298.7952258272479,299.3222775433693,6368.463696533335,0.0,0.0,1.0,0
61,63,1829,22.9,174,298.7952258272479,299.3222775433693,4386.088990633332,0.0,1.0,0.0,0
62,64,1812,25.9,177,298.89521289477483,299.3222775433693,4914.577732399999,0.0,0.0,1.0,0
63,65,1523,38.6,179,298.99519996230174,299.3896750588464,6156.238820066666,0.0,1.0,0.0,0
64,66,1394,45.1,181,298.99519996230174,299.3896750588464,6583.662611533333,0.0,1.0,0.0,0
65,67,1679,28.7,184,298.89521289477483,299.2548800278923,5046.157993566666,0.0,0.0,1.0,0
66,68,1466,44.1,189,298.7952258272479,299.2548800278923,6770.1892818,1.0,0.0,0.0,0
67,69,1527,32.4,191,298.7952258272479,299.2548800278923,5180.9845644,0.0,1.0,0.0,0
68,70,1410,65.7,193,298.89521289477483,299.3222775433693,9700.915761,0.0,1.0,0.0,1
69,71,1924,22.6,196,298.89521289477483,299.3222775433693,4553.462433866666,0.0,0.0,1.0,0
70,72,1452,45.5,198,298.89521289477483,299.3896750588464,6918.409498,0.0,1.0,0.0,0
71,73,1369,44.4,200,298.89521289477483,299.3896750588464,6365.2383308,0.0,1.0,0.0,1
72,74,1592,35.0,202,298.99519996230174,299.3896750588464,5834.979826666668,0.0,1.0,0.0,1
73,75,1601,32.3,204,298.89521289477483,299.3222775433693,5415.2948185666655,0.0,1.0,0.0,1
74,76,1379,46.7,206,298.7952258272479,299.2548800278923,6743.873229566666,0.0,1.0,0.0,1
75,77,1461,47.9,208,298.7952258272479,299.2548800278923,7328.481240699999,0.0,1.0,0.0,1
76,78,1455,41.3,210,298.7952258272479,299.2548800278923,6292.761849499999,0.0,1.0,0.0,1
77,79,1398,51.5,2,298.7952258272479,299.2548800278923,7539.501841000001,0.0,1.0,0.0,0
78,80,1402,37.9,4,298.7952258272479,299.2548800278923,5564.3632640666665,0.0,1.0,0.0,0
79,81,1445,49.9,9,298.7952258272479,299.1874825124153,7550.863924833332,1.0,0.0,0.0,0
80,82,1450,47.5,11,298.89521289477483,299.2548800278923,7212.567041666666,0.0,1.0,0.0,0
81,83,1453,40.8,13,298.89521289477483,299.2548800278923,6208.0331672,0.0,1.0,0.0,0
82,84,1469,40.1,15,298.99519996230174,299.3222775433693,6168.710932366667,0.0,1.0,0.0,0
83,85,1422,47.6,17,298.89521289477483,299.2548800278923,7088.181021599999,0.0,1.0,0.0,0
84,86,1804,26.8,20,298.99519996230174,299.3222775433693,5062.902668266666,0.0,0.0,1.0,0
85,87,1436,43.9,25,298.99519996230174,299.3222775433693,6601.569674533333,1.0,0.0,0.0,0
86,88,1544,31.8,27,298.99519996230174,299.3222775433693,5141.6518576,0.0,1.0,0.0,0
87,89,1419,45.2,30,298.99519996230174,299.3222775433693,6716.593756399999,0.0,0.0,1.0,0
88,90,1487,39.5,33,298.89521289477483,299.2548800278923,6150.866701166667,0.0,0.0,1.0,0
