,UDI,Product ID,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Normalized_air_temp,Normalized_process_temp,Power [W],Machine failure Labelled
0,1,M14860,M,1551,42.8,3,0,0,0,0,0,0,298.0953163545595,299.05268748146125,6951.5846884,No Failure
1,2,L47181,L,1408,46.3,5,0,0,0,0,0,0,298.1953034220864,299.12008499693826,6826.716957866666,No Failure
2,3,L47182,L,1498,49.4,7,0,0,0,0,0,0,298.0953163545595,298.98528996598424,7749.380996933332,No Failure
3,4,L47183,L,1433,39.5,9,0,0,0,0,0,0,298.1953034220864,299.05268748146125,5927.499652166667,No Failure
4,5,L47184,L,1408,40.0,11,0,0,0,0,0,0,298.1953034220864,299.12008499693826,5897.811626666667,No Failure
5,6,M14865,M,1425,41.9,14,0,0,0,0,0,0,298.0953163545595,299.05268748146125,6252.549497499999,No Failure
6,7,L47186,L,1558,42.4,16,0,0,0,0,0,0,298.0953163545595,299.05268748146125,6917.697404266665,No Failure
7,8,L47187,L,1527,40.2,18,0,0,0,0,0,0,298.0953163545595,299.05268748146125,6428.2586262,No Failure
8,9,M14868,M,1667,28.6,21,0,0,0,0,0,0,298.29529048961336,299.12008499693826,4992.635771933334,No Failure
9,10,M14869,M,1741,28.0,24,0,0,0,0,0,0,298.4952646246672,299.3222775433693,5104.874310666666,No Failure
10,11,H29424,H,1782,23.9,29,0,0,0,0,0,0,298.3952775571402,299.2548800278923,4459.989659399999,No Failure
11,12,H29425,H,1423,44.3,34,0,0,0,0,0,0,298.5952516921941,299.3896750588464,6601.412595033333,No Failure
12,13,M14872,M,1339,51.1,37,0,0,0,0,0,0,298.5952516921941,299.3896750588464,7165.223280366667,HDF
13,14,M14873,M,1742,30.0,40,0,0,0,0,0,0,298.5952516921941,299.4570725743233,5472.64978,No Failure
14,15,L47194,L,2035,19.6,42,0,0,0,0,0,0,298.5952516921941,299.4570725743233,4176.848624666667,No Failure
15,16,L47195,L,1542,48.4,44,0,0,0,0,0,0,298.5952516921941,299.4570725743233,7815.521938399999,No Failure
16,17,M14876,M,1311,46.6,47,0,0,0,0,0,0,298.5952516921941,299.4570725743233,6397.5967078,HDF
17,18,M14877,M,1410,45.6,50,0,0,0,0,0,0,298.695238759721,299.4570725743233,6733.055688,No Failure
18,19,H29432,H,1306,54.5,55,0,0,0,0,0,0,298.7952258272479,299.4570725743233,7453.6317143333345,HDF
19,20,M14879,M,1632,32.5,58,0,0,0,0,0,0,298.89521289477483,299.5244700898004,5554.331120000001,No Failure
20,21,H29434,H,1375,42.7,63,0,0,0,0,0,0,298.89521289477483,299.5244700898004,6148.353429166667,HDF
21,22,L47201,L,1450,44.8,65,0,0,0,0,0,0,298.7952258272479,299.5244700898004,6802.589546666666,No Failure
22,23,M14882,M,1581,30.7,68,0,0,0,0,0,0,298.89521289477483,299.5244700898004,5082.7470451,No Failure
23,24,L47203,L,1758,25.7,70,0,0,0,0,0,0,298.99519996230174,299.59186760527734,4731.297371799999,No Failure
24,25,M14884,M,1561,37.3,73,0,0,0,0,0,0,298.99519996230174,299.59186760527734,6097.3340075666665,No Failure
25,26,L47205,L,1861,23.3,75,0,0,0,0,0,0,298.99519996230174,299.6592651207544,4540.780882233334,No Failure
