,Unnamed: 0,UDI,Rotational speed [rpm],Torque [Nm],Tool wear [min],Normalized_air_temp,Normalized_process_temp,Power [W],Product Type_H,Product Type_L,Product Type_M,Machine failure Labelled_HDF,"Machine failure Labelled_HDF, OSF","Machine failure Labelled_HDF, PWF","Machine failure Labelled_HDF, PWF, OSF","Machine failure Labelled_HDF, RNF",Machine failure Labelled_No Failure,Machine failure Labelled_OSF,Machine failure Labelled_PWF,"Machine failure Labelled_PWF, OSF",Machine failure Labelled_RNF,Machine failure Labelled_TWF,"Machine failure Labelled_TWF, HDF","Machine failure Labelled_TWF, HDF, OSF","Machine failure Labelled_TWF, HDF, PWF, OSF","Machine failure Labelled_TWF, OSF","Machine failure Labelled_TWF, PWF, OSF","Machine failure Labelled_TWF, RNF"
0,0,1,1551,42.8,3,298.0953163545595,299.05268748146125,6951.5846884,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1408,46.3,5,298.1953034220864,299.12008499693826,6826.716957866666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,1498,49.4,7,298.0953163545595,298.98528996598424,7749.380996933332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,4,1433,39.5,9,298.1953034220864,299.05268748146125,5927.499652166667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,5,1408,40.0,11,298.1953034220864,299.12008499693826,5897.811626666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,6,1425,41.9,14,298.0953163545595,299.05268748146125,6252.549497499999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,7,1558,42.4,16,298.0953163545595,299.05268748146125,6917.697404266665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,8,1527,40.2,18,298.0953163545595,299.05268748146125,6428.2586262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,9,1667,28.6,21,298.29529048961336,299.12008499693826,4992.635771933334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,10,1741,28.0,24,298.4952646246672,299.3222775433693,5104.874310666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,11,1782,23.9,29,298.3952775571402,299.2548800278923,4459.989659399999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,12,1423,44.3,34,298.5952516921941,299.3896750588464,6601.412595033333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,13,1339,51.1,37,298.5952516921941,299.3896750588464,7165.223280366667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,14,1742,30.0,40,298.5952516921941,299.4570725743233,5472.64978,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,15,2035,19.6,42,298.5952516921941,299.4570725743233,4176.848624666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,16,1542,48.4,44,298.5952516921941,299.4570725743233,7815.521938399999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,17,1311,46.6,47,298.5952516921941,299.4570725743233,6397.5967078,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,18,1410,45.6,50,298.695238759721,299.4570725743233,6733.055688,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
