,Unnamed: 0,UDI,Product Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Normalized_air_temp,Normalized_process_temp,Power [W],Machine failure Labelled
0,0,1,M,1551,42.8,3,298.0953163545595,299.05268748146125,6951.5846884,No Failure
1,1,2,L,1408,46.3,5,298.1953034220864,299.12008499693826,6826.716957866666,No Failure
2,2,3,L,1498,49.4,7,298.0953163545595,298.98528996598424,7749.380996933332,No Failure
3,3,4,L,1433,39.5,9,298.1953034220864,299.05268748146125,5927.499652166667,No Failure
4,4,5,L,1408,40.0,11,298.1953034220864,299.12008499693826,5897.811626666667,No Failure
5,5,6,M,1425,41.9,14,298.0953163545595,299.05268748146125,6252.549497499999,No Failure
6,6,7,L,1558,42.4,16,298.0953163545595,299.05268748146125,6917.697404266665,No Failure
7,7,8,L,1527,40.2,18,298.0953163545595,299.05268748146125,6428.2586262,No Failure
8,8,9,M,1667,28.6,21,298.29529048961336,299.12008499693826,4992.635771933334,No Failure
9,9,10,M,1741,28.0,24,298.4952646246672,299.3222775433693,5104.874310666666,No Failure
10,10,11,H,1782,23.9,29,298.3952775571402,299.2548800278923,4459.989659399999,No Failure
11,11,12,H,1423,44.3,34,298.5952516921941,299.3896750588464,6601.412595033333,No Failure
12,12,13,M,1339,51.1,37,298.5952516921941,299.3896750588464,7165.223280366667,HDF
13,13,14,M,1742,30.0,40,298.5952516921941,299.4570725743233,5472.64978,No Failure
14,14,15,L,2035,19.6,42,298.5952516921941,299.4570725743233,4176.848624666667,No Failure
15,15,16,L,1542,48.4,44,298.5952516921941,299.4570725743233,7815.521938399999,No Failure
16,16,17,M,1311,46.6,47,298.5952516921941,299.4570725743233,6397.5967078,HDF
17,17,18,M,1410,45.6,50,298.695238759721,299.4570725743233,6733.055688,No Failure
18,18,19,H,1306,54.5,55,298.7952258272479,299.4570725743233,7453.6317143333345,HDF
19,19,20,M,1632,32.5,58,298.89521289477483,299.5244700898004,5554.331120000001,No Failure
20,20,21,H,1375,42.7,63,298.89521289477483,299.5244700898004,6148.353429166667,HDF
21,21,22,L,1450,44.8,65,298.7952258272479,299.5244700898004,6802.589546666666,No Failure
22,22,23,M,1581,30.7,68,298.89521289477483,299.5244700898004,5082.7470451,No Failure
23,23,24,L,1758,25.7,70,298.99519996230174,299.59186760527734,4731.297371799999,No Failure
24,24,25,M,1561,37.3,73,298.99519996230174,299.59186760527734,6097.3340075666665,No Failure
25,25,26,L,1861,23.3,75,298.99519996230174,299.6592651207544,4540.780882233334,No Failure
26,26,27,L,1512,39.0,77,299.0951870298287,299.6592651207544,6175.109304,No Failure
27,27,28,H,1811,24.6,82,299.0951870298287,299.59186760527734,4665.323981800001,No Failure
28,28,29,L,1439,44.2,84,299.0951870298287,299.59186760527734,6660.568734733335,No Failure
29,29,30,L,1693,30.1,86,298.99519996230174,299.59186760527734,5336.440909566667,No Failure
30,30,31,M,1339,48.2,89,299.0951870298287,299.6592651207544,6758.586342733333,HDF
31,31,32,L,1798,25.5,91,298.99519996230174,299.59186760527734,4801.291996999999,No Failure
32,32,33,L,1419,48.3,93,298.99519996230174,299.59186760527734,7177.245098099998,No Failure
33,33,34,L,1665,32.5,95,298.89521289477483,299.5244700898004,5666.642962499999,No Failure
34,34,35,M,1559,34.7,98,298.7952258272479,299.3896750588464,5665.051223566667,No Failure
35,35,36,M,1452,48.6,101,298.7952258272479,299.4570725743233,7389.7736616,No Failure
36,36,37,M,1581,36.7,104,298.89521289477483,299.4570725743233,6076.1178031,No Failure
37,37,38,L,1439,39.2,106,298.7952258272479,299.3896750588464,5907.110733066668,No Failure
38,38,39,H,1379,50.7,111,298.89521289477483,299.4570725743233,7321.5069109,HDF
39,39,40,L,1350,52.5,113,298.7952258272479,299.3896750588464,7422.006374999999,HDF
40,40,41,L,1362,45.4,115,298.7952258272479,299.3896750588464,6475.3196444,HDF
41,41,42,L,1368,50.8,117,298.7952258272479,299.3896750588464,7277.430403199998,HDF
42,42,43,M,1368,49.1,120,298.7952258272479,299.3896750588464,7033.894346399999,HDF
43,43,44,H,1372,48.5,125,298.7952258272479,299.4570725743233,6968.256059333334,HDF
44,44,45,M,1472,47.5,128,298.7952258272479,299.3896750588464,7321.999093333333,No Failure
45,45,46,L,1489,49.1,130,298.7952258272479,299.3896750588464,7656.044358033333,No Failure
46,46,47,M,1843,25.8,133,298.695238759721,299.3222775433693,4979.3573182,No Failure
47,47,48,L,1418,46.3,135,298.7952258272479,299.3896750588464,6875.202163533333,No Failure
48,48,49,H,1425,53.9,140,298.7952258272479,299.4570725743233,8043.255797499998,No Failure
49,49,50,M,1412,44.1,143,298.89521289477483,299.4570725743233,6520.8098676,No Failure
50,51,52,L,1383,54.9,147,298.89521289477483,299.3896750588464,7951.0187151,No Failure
51,52,53,H,1497,43.8,152,298.7952258272479,299.3222775433693,6866.321935799999,No Failure
52,53,54,L,1565,35.1,154,298.695238759721,299.3222775433693,5752.4083695,No Failure
53,54,55,L,1691,30.1,156,298.695238759721,299.3222775433693,5330.136785633333,No Failure
54,55,56,L,1512,40.7,158,298.7952258272479,299.3896750588464,6444.2807352,No Failure
55,56,57,L,1477,42.4,160,298.7952258272479,299.3896750588464,6558.048181066666,No Failure
56,57,58,L,1513,40.3,162,298.7952258272479,299.3896750588464,6385.166483366666,No Failure
57,58,59,M,1661,29.5,165,298.7952258272479,299.3222775433693,5131.211306833334,No Failure
58,59,60,L,1378,54.4,167,298.7952258272479,299.3896750588464,7850.121316266667,HDF
59,60,61,L,1393,52.6,169,298.7952258272479,299.3896750588464,7672.998472066666,No Failure
60,61,62,M,1592,38.2,172,298.7952258272479,299.3222775433693,6368.463696533335,No Failure
61,62,63,L,1829,22.9,174,298.7952258272479,299.3222775433693,4386.088990633332,No Failure
62,63,64,M,1812,25.9,177,298.89521289477483,299.3222775433693,4914.577732399999,No Failure
63,64,65,L,1523,38.6,179,298.99519996230174,299.3896750588464,6156.238820066666,No Failure
64,65,66,L,1394,45.1,181,298.99519996230174,299.3896750588464,6583.662611533333,No Failure
65,66,67,M,1679,28.7,184,298.89521289477483,299.2548800278923,5046.157993566666,No Failure
66,67,68,H,1466,44.1,189,298.7952258272479,299.2548800278923,6770.1892818,No Failure
67,68,69,L,1527,32.4,191,298.7952258272479,299.2548800278923,5180.9845644,No Failure
68,69,70,L,1410,65.7,193,298.89521289477483,299.3222775433693,9700.915761,"PWF, OSF"
69,70,71,M,1924,22.6,196,298.89521289477483,299.3222775433693,4553.462433866666,No Failure
70,71,72,L,1452,45.5,198,298.89521289477483,299.3896750588464,6918.409498,No Failure
71,72,73,L,1369,44.4,200,298.89521289477483,299.3896750588464,6365.2383308,"TWF, HDF"
72,73,74,L,1592,35.0,202,298.99519996230174,299.3896750588464,5834.979826666668,TWF
73,74,75,L,1601,32.3,204,298.89521289477483,299.3222775433693,5415.2948185666655,TWF
74,75,76,L,1379,46.7,206,298.7952258272479,299.2548800278923,6743.873229566666,"TWF, HDF"
75,76,77,L,1461,47.9,208,298.7952258272479,299.2548800278923,7328.481240699999,TWF
76,77,78,L,1455,41.3,210,298.7952258272479,299.2548800278923,6292.761849499999,TWF
77,78,79,L,1398,51.5,2,298.7952258272479,299.2548800278923,7539.501841000001,No Failure
78,79,80,L,1402,37.9,4,298.7952258272479,299.2548800278923,5564.3632640666665,No Failure
79,80,81,H,1445,49.9,9,298.7952258272479,299.1874825124153,7550.863924833332,No Failure
80,81,82,L,1450,47.5,11,298.89521289477483,299.2548800278923,7212.567041666666,No Failure
81,82,83,L,1453,40.8,13,298.89521289477483,299.2548800278923,6208.0331672,No Failure
82,83,84,L,1469,40.1,15,298.99519996230174,299.3222775433693,6168.710932366667,No Failure
83,84,85,L,1422,47.6,17,298.89521289477483,299.2548800278923,7088.181021599999,No Failure
84,85,86,M,1804,26.8,20,298.99519996230174,299.3222775433693,5062.902668266666,No Failure
85,86,87,H,1436,43.9,25,298.99519996230174,299.3222775433693,6601.569674533333,No Failure
86,87,88,L,1544,31.8,27,298.99519996230174,299.3222775433693,5141.6518576,No Failure
87,88,89,M,1419,45.2,30,298.99519996230174,299.3222775433693,6716.593756399999,No Failure
88,89,90,M,1487,39.5,33,298.89521289477483,299.2548800278923,6150.866701166667,No Failure
89,90,91,L,1753,25.8,35,298.89521289477483,299.2548800278923,4736.1982522,No Failure
90,91,92,L,1830,24.9,37,298.89521289477483,299.2548800278923,4771.761051,No Failure
91,92,93,M,1727,27.1,40,298.89521289477483,299.2548800278923,4901.058423433334,No Failure
92,93,94,L,1450,43.0,42,299.0951870298287,299.3222775433693,6529.271216666666,No Failure
93,94,95,L,1622,31.9,44,298.99519996230174,299.2548800278923,5418.384048733333,No Failure
94,95,96,M,1351,52.2,47,298.99519996230174,299.3222775433693,7385.0612766,HDF
95,96,97,M,1575,35.3,50,298.99519996230174,299.3222775433693,5822.151667499999,No Failure
96,97,98,M,1750,29.9,53,298.89521289477483,299.2548800278923,5479.456558333332,No Failure
97,98,99,L,1529,32.7,55,298.89521289477483,299.1874825124153,5235.8053099,No Failure
98,99,100,L,1523,44.4,57,298.7952258272479,299.1874825124153,7081.269523599999,No Failure
99,100,101,L,1852,25.0,59,298.7952258272479,299.2548800278923,4848.520566666666,No Failure
100,101,102,L,1991,20.7,61,298.7952258272479,299.1874825124153,4315.8849261,No Failure
101,102,103,L,1555,40.6,63,298.7952258272479,299.1874825124153,6611.266715666667,No Failure
102,103,104,M,1441,40.5,66,298.7952258272479,299.1874825124153,6111.4921065,No Failure
103,104,105,L,1450,43.4,68,298.7952258272479,299.12008499693826,6590.008623333333,No Failure
104,105,106,L,1591,31.1,70,298.7952258272479,299.12008499693826,5181.539578633334,No Failure
105,106,107,L,1445,48.5,72,298.7952258272479,299.12008499693826,7339.016039166665,No Failure
106,107,108,M,1497,46.8,75,298.7952258272479,299.1874825124153,7336.617958799999,No Failure
107,108,109,H,1621,32.7,80,298.89521289477483,299.1874825124153,5550.8439551,No Failure
108,109,110,L,1572,34.1,82,298.89521289477483,299.12008499693826,5613.518675599999,No Failure
109,110,111,L,1872,22.5,84,298.7952258272479,299.05268748146125,4410.79236,No Failure
110,111,112,H,1499,43.5,89,298.695238759721,299.05268748146125,6828.402944500001,No Failure
111,112,113,M,1498,39.5,92,298.7952258272479,299.12008499693826,6196.367396333333,No Failure
112,113,114,M,1486,41.9,95,298.7952258272479,299.05268748146125,6520.202493533332,No Failure
113,114,115,L,1680,29.4,97,298.7952258272479,299.05268748146125,5172.313775999999,No Failure
114,115,116,L,1431,45.7,99,298.7952258272479,299.05268748146125,6848.320625099999,No Failure
115,116,117,L,1564,34.1,101,298.89521289477483,299.12008499693826,5584.951150533333,No Failure
116,117,118,L,1599,33.0,103,298.7952258272479,299.05268748146125,5525.742651,No Failure
117,118,119,M,1707,28.1,106,298.7952258272479,299.05268748146125,5023.0568351,No Failure
118,119,120,L,1467,40.7,108,298.695238759721,298.98528996598424,6252.4866657,No Failure
119,120,121,L,1433,44.7,110,298.89521289477483,299.12008499693826,6707.828720300001,No Failure
120,121,122,L,1558,41.2,112,298.89521289477483,299.12008499693826,6721.9135154666665,No Failure
